track_id,acousticness,danceability,energy,happiness,instrumentalness,liveness,loudness,popularity,speechiness,BPM,camelot,duration,key
09gvU6fupCnVE0RPF8E3Ys,4,80,66,61,19,14,-6 dB,57,27,93,10A,3:24:00,B Minor
0LfmOEaXineDNgKUu8EFcC,6,63,54,30,0,11,-7 dB,46,49,123,5A,3:32:00,C Minor
0OA00aPt3BV10qeMIs3meW,2,46,75,26,0,36,-3 dB,86,16,79,3B,1:27:00,C# Major
0UYnhUfnUj5adChuAXvLUB,68,49,41,27,0,19,-10 dB,94,3,86,9B,4:09:00,G Major
0jQNzFCegFraPo4OMZKQa4,0,84,63,88,46,6,-12 dB,42,5,126,8B,2:32:00,C Major
19RybK6XDbAVpcdxSbZL1o,13,80,96,96,2,11,-5 dB,85,3,130,10B,3:32:00,D Major
1D68GC0dFwe6NW66GaxH1H,27,54,70,35,0,74,-6 dB,46,22,82,10B,2:57:00,D Major
1UHS8Rf6h5Ar3CDWRd3wjF,7,74,73,68,0,10,-6 dB,90,4,131,3B,3:53:00,C# Major
1YZBMqN8kHaaRPXpQTC3kb,34,61,70,51,0,8,-3 dB,60,3,75,12A,0:52:00,C# Minor
1llY5gzWqdAjm1Hscr4kwn,80,54,33,11,32,17,-11 dB,68,3,123,11B,4:52:00,A Major
1vkpe29DP5EvAxYnWVq5C1,5,79,79,40,0,9,-5 dB,70,21,81,3B,2:37:00,C# Major
1x5sYLZiu9r5E43kMlt9f8,26,71,63,46,0,14,-5 dB,75,6,143,11B,3:23:00,A Major
2KufM8PiQY4i52XhRL96Fd,2,81,41,76,39,8,-13 dB,70,7,150,8B,2:14:00,C Major
2LMkwUfqC6S6s6qDVlEuzV,77,50,10,20,0,30,-16 dB,83,4,144,3B,2:30:00,C# Major
2Lumsra3kuU61wXkEKzKaK,3,47,62,78,0,19,-9 dB,83,3,84,1A,4:58:00,A♭ Minor
2bngdHLbrOmgQJwrFTZ08i,8,79,53,76,0,38,-8 dB,59,18,80,10B,2:42:00,D Major
2c7z5oRcPBbqRaBY2mLWcf,19,76,63,32,2,22,-7 dB,85,10,109,8B,4:09:00,C Major
2hrycoFU1mZw6YPvMcn8yC,16,65,63,35,0,9,-4 dB,84,3,95,10A,2:52:00,B Minor
2klj0StczYde6WUHBJo5F6,24,52,71,37,85,13,-9 dB,70,4,113,5B,2:37:00,E♭ Major
2plbrEY59IikOBgBGLjaoe,31,52,59,54,0,12,-8 dB,99,3,138,12A,2:35:00,C# Minor
2y2Y4LPrrDMinXKHsMLYLD,12,81,47,21,0,11,-7 dB,48,7,136,8B,1:53:00,C Major
34oWbFBfGEElvgO0a5c9V4,7,94,60,82,0,8,-8 dB,76,19,118,4A,2:45:00,F Minor
3DFthI2QhiPzMEuPatsVG1,10,59,57,40,0,16,-11 dB,67,3,100,11A,2:15:00,F# Minor
3Eb5sztvEMa0Mqnb8DUAlU,0,68,56,69,0,24,-9 dB,72,3,82,7A,5:12:00,D Minor
3PbutKhWZwCvV36TMJiNl3,3,83,54,51,0,11,-9 dB,72,5,132,4B,3:57:00,A♭ Major
3PzAUMMxPcaXEfWEvMx469,35,53,75,70,0,25,-6 dB,65,22,137,8A,3:47:00,A Minor
3QaPy1KgI7nu9FJEQUgn6h,61,47,25,13,0,17,-12 dB,92,4,160,3A,2:02:00,B♭ Minor
3WSOUb3U7tqURbBSgZTrZX,23,51,41,34,0,6,-7 dB,84,3,148,11A,4:21:00,F# Minor
3ZP1AbM0rurWtqQIhTVcln,1,90,68,80,0,3,-10 dB,76,17,180,9A,3:11:00,E Minor
42qNWdLKCI41S4uzfamhFM,19,58,89,71,0,9,-9 dB,83,3,113,9B,2:39:00,G Major
487JCvAXVblflZyDJn3fSp,16,75,71,56,0,33,-6 dB,73,26,117,3B,6:17:00,C# Major
4BqIT4j2xzROrC9dMlgXPT,72,62,42,38,9,11,-13 dB,67,7,130,9A,2:01:00,E Minor
4JOP8ELK6AaeySe7sKe996,73,60,51,34,0,11,-8 dB,66,6,120,9A,3:37:00,E Minor
4LIM4qmpHABufePRrLWbiM,99,45,2,6,77,13,-26 dB,68,5,114,3B,2:41:00,C# Major
4Lw1ePUkkLEG9kIVhpslO0,5,79,54,71,0,9,-5 dB,49,3,158,11B,4:39:00,A Major
4PwWESSlTwzvw9B7bmtTLS,77,39,29,51,0,9,-13 dB,77,4,84,5B,3:22:00,E♭ Major
4S1VYqwfkLit9mKVY3MXoo,42,49,48,33,0,24,-9 dB,86,3,116,6B,2:37:00,B♭ Major
4T0ScSPdQKmGvruK7pavNP,4,73,61,89,0,19,-8 dB,67,5,158,11A,4:12:00,F# Minor
51rfRCiUSvxXlCSCfIztBy,66,53,41,34,0,13,-8 dB,90,3,113,9B,2:39:00,G Major
5AJ9hqTS2wcFQCELCFRO7A,10,85,70,92,0,7,-6 dB,88,4,61,8B,3:21:00,C Major
5G2f63n7IPVPPjfNIGih7Q,10,67,91,72,0,30,-4 dB,93,6,94,4A,3:55:00,F Minor
5PCGEfALcpGtURIuTqvX0R,32,78,44,84,0,7,-9 dB,81,6,129,7B,3:01:00,F Major
5Zg2yZfCBn7CsFvH0haHgA,12,73,45,32,0,5,-11 dB,52,46,140,12A,2:10:00,C# Minor
5b3XJ1pjrHO5JtY2PcTjnI,3,89,53,21,0,8,-5 dB,82,21,117,3B,6:17:00,C# Major
65u1dHQyQyE4y4aN2eDmMF,6,77,51,51,0,14,-7 dB,63,7,113,6B,4:06:00,B♭ Major
6KbwCku0kfegSak3qJYDlh,8,52,74,39,0,53,-7 dB,53,5,105,10B,3:30:00,D Major
6dOtVTDdiauQNBQEDOtlAB,20,75,51,44,6,12,-10 dB,97,4,117,3A,4:00:00,B♭ Minor
76YDsWGWezclVy9Z6sDGhf,1,95,43,72,3,22,-17 dB,63,30,173,10A,2:33:00,B Minor
7wA4XiTQOWByeF6DGWoxkt,10,55,67,43,0,14,-5 dB,57,3,,,,
7zP40LKCXsiyZjMtnzo5z6,14,72,80,22,0,33,-6 dB,49,15,,,,
